category,element,variable,statistic,unit,year,value
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2015,1.115524736
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2016,1.133635289
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2017,1.155587692
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2018,1.176822525
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2019,1.201553702
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2020,1.227443382
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2021,1.260526611
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2022,1.300905962
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2023,1.334132271
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2024,1.36281589
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2025,1.386821613
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2026,1.409581793
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2027,1.425230259
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2028,1.440682225
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2029,1.456666458
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2030,1.469540956
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2031,1.483561897
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2032,1.494609356
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2033,1.507995171
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2034,1.522764198
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2035,1.537770871
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2036,1.548925899
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2037,1.556643025
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2038,1.56352596
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2039,1.566010459
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2040,1.564706777
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2041,1.561371788
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2042,1.557354938
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2043,1.556619509
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2044,1.555670884
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2045,1.557631119
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2046,1.559629027
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2047,1.564812454
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2048,1.567018634
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2049,1.56423156
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2050,1.559539081
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2051,1.552204904
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2052,1.543579955
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2053,1.533460955
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2054,1.524410648
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2055,1.518428376
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2056,1.517218603
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2057,1.515579571
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2058,1.512191387
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2059,1.507588084
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2060,1.501179106
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2061,1.493680016
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2062,1.484425137
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2063,1.476698006
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2064,1.468875228
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2065,1.462874756
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2066,1.460206154
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2067,1.458967013
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2068,1.459337572
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2069,1.458270479
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2070,1.454490198
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2071,1.447700078
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2072,1.439452961
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2073,1.43334769
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2074,1.425053598
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2075,1.419994195
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2076,1.415899495
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2077,1.412421792
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2078,1.408118242
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2079,1.40762688
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2080,1.410791849
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2081,1.409188247
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2082,1.409210132
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2083,1.405883926
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2084,1.402740371
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2085,1.394366955
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2086,1.382755142
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2087,1.374379494
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2088,1.366987874
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2089,1.36744861
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2090,1.369381785
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2091,1.368056195
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2092,1.37071641
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2093,1.371716739
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2094,1.369913015
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2095,1.363801043
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2096,1.353058806
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2097,1.343711378
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2098,1.339972787
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2099,1.337856087
C1,line,Surface Temperature (GSAT) relative to 1850-1900,Median across scenarios in the category of MAGICC7 median warming projections,K,2100,1.334184224
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2015,1.111952464427747
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2016,1.1317298204
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2017,1.151205717
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2018,1.169542303
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2019,1.190536806
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2020,1.2162853046
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2021,1.2481449156
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2022,1.2821837432
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2023,1.3148053734
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2024,1.3402778764
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2025,1.3604195
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2026,1.3767040604
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2027,1.3869102406690317
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2028,1.3889702972327302
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2029,1.395111606526513
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2030,1.3951860062491868
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2031,1.3969416114818345
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2032,1.3996939359849057
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2033,1.400441111489287
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2034,1.405084754372046
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2035,1.4103510212201449
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2036,1.4153519303425346
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2037,1.419969598010982
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2038,1.420528056380474
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2039,1.418679559331428
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2040,1.4118952274120504
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2041,1.4007119688540182
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2042,1.3893587208125562
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2043,1.3818453680870344
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2044,1.3767157820863654
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2045,1.372747741022133
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2046,1.376820820049999
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2047,1.382306090601269
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2048,1.3865407615878425
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2049,1.383408506142539
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2050,1.3771451641167745
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2051,1.3683913841783937
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2052,1.3630048422546786
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2053,1.3555902151594847
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2054,1.350909628322884
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2055,1.3476252957001214
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2056,1.3477182226916935
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2057,1.3450607768745777
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2058,1.3405088610017883
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2059,1.3348222598917474
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2060,1.329180949778194
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2061,1.320534269307867
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2062,1.3113405235292095
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2063,1.3022530477913503
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2064,1.2934158842528267
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2065,1.2853073091791407
C1,lower,Surface Temperature (GSAT) relative to 1850-1900,Minimum of (5th percentile across scenarios in the category of MAGICC7 median warming projections and 5th percentile across scenarios in the category of FaIRv1.6.2 median warming projections),K,2066,1.2802143442821063
